=======================================================================================
                            TOP-5000 САМЫХ ЧАСТЫХ СЛОВ
                            Сортировка: По_частоте
=======================================================================================

Режим: Все файлы
Файл: Папка SourceTexts
Дата: Dec 10 2025 15:20:06

-----------------------------------------------------------------------------------------------------------------------
  №   Слово                 Частота     Документы
391   совсем                     35   voyna-i-mir-tom-1.txt
392   тушин                      35   voyna-i-mir-tom-1.txt
393   чтонибудь                  35   voyna-i-mir-tom-1.txt
394   une                        34   voyna-i-mir-tom-1.txt
395   анны                       34   voyna-i-mir-tom-1.txt
396   взял                       34   voyna-i-mir-tom-1.txt
397   вся                        34   voyna-i-mir-tom-1.txt
398   давно                      34   voyna-i-mir-tom-1.txt
399   императора                 34   voyna-i-mir-tom-1.txt
400   комнате                    34   voyna-i-mir-tom-1.txt
401   отец                       34   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
402   почти                      34   voyna-i-mir-tom-1.txt
403   сына                       34   voyna-i-mir-tom-1.txt
404   тогда                      34   voyna-i-mir-tom-1.txt
405   me                         33   voyna-i-mir-tom-1.txt
406   ведь                       33   voyna-i-mir-tom-1.txt
407   войск                      33   voyna-i-mir-tom-1.txt
408   главнокомандующего         33   voyna-i-mir-tom-1.txt
409   гусар                      33   voyna-i-mir-tom-1.txt
410   крикнул                    33   voyna-i-mir-tom-1.txt
411   куда                       33   voyna-i-mir-tom-1.txt
412   могла                      33   voyna-i-mir-tom-1.txt
413   неприятеля                 33   voyna-i-mir-tom-1.txt
414   орудия                     33   voyna-i-mir-tom-1.txt
415   подле                      33   voyna-i-mir-tom-1.txt
416   слишком                    33   voyna-i-mir-tom-1.txt
417   cher                       32   voyna-i-mir-tom-1.txt
418   билибин                    32   voyna-i-mir-tom-1.txt
419   говорю                     32   voyna-i-mir-tom-1.txt
420   думаю                      32   voyna-i-mir-tom-1.txt
421   командира                  32   voyna-i-mir-tom-1.txt
422   комнаты                    32   voyna-i-mir-tom-1.txt
423   наполеон                   32   voyna-i-mir-tom-1.txt
424   полковник                  32   voyna-i-mir-tom-1.txt
425   посмотрел                  32   voyna-i-mir-tom-1.txt
426   право                      32   voyna-i-mir-tom-1.txt
427   сзади                      32   voyna-i-mir-tom-1.txt
428   слово                      32   voyna-i-mir-tom-1.txt
429   тотчас                     32   voyna-i-mir-tom-1.txt
430   тяжело                     32   voyna-i-mir-tom-1.txt
431   указывая                   32   voyna-i-mir-tom-1.txt
432   адъютант                   31   voyna-i-mir-tom-1.txt
433   видом                      31   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
434   государю                   31   voyna-i-mir-tom-1.txt
435   император                  31   voyna-i-mir-tom-1.txt
436   ипполит                    31   voyna-i-mir-tom-1.txt
437   ко                         31   voyna-i-mir-tom-1.txt, Пушкин_Пророк.txt
438   милая                      31   voyna-i-mir-tom-1.txt
439   молча                      31   voyna-i-mir-tom-1.txt
440   одной                      31   voyna-i-mir-tom-1.txt
441   понять                     31   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
442   сиятельство                31   voyna-i-mir-tom-1.txt
443   стояли                     31   voyna-i-mir-tom-1.txt
444   улыбнулся                  31   voyna-i-mir-tom-1.txt
445   dans                       30   voyna-i-mir-tom-1.txt
446   виконт                     30   voyna-i-mir-tom-1.txt
447   всей                       30   voyna-i-mir-tom-1.txt
448   господа                    30   voyna-i-mir-tom-1.txt
449   гостиной                   30   voyna-i-mir-tom-1.txt
450   лучше                      30   voyna-i-mir-tom-1.txt, Пушкин Онегин 1-5.txt
451   русские                    30   voyna-i-mir-tom-1.txt
452   смотрели                   30   voyna-i-mir-tom-1.txt
453   сюда                       30   voyna-i-mir-tom-1.txt
454   такое                      30   voyna-i-mir-tom-1.txt
